"Coût_chauffage","Surface_habitable_immeuble","Coût_éclairage","Conso_5_usages_é_finale","Date_réception_DPE","Coût_total_5_usages","Emission_GES_5_usages","N°DPE","Code_postal_(BAN)","Identifiant__BAN","Surface_habitable_logement","Coût_auxiliaires","Type_bâtiment","Coût_ECS","Conso_5_usages_par_m²_é_primaire","Coût_refroidissement","Etiquette_DPE","_score","Type_installation_chauffage","x","y","lon","lat"
374,141,48,2935.6,"2022-12-23",567,218.7,"2241N3142773W","41400","41051_0256",141,10,"maison",111,47.9,0,"A",39.075127,NA,NA,NA,NA,NA
234.5,NA,27.6,1846.2,"2022-10-28",408.7,135.3,"2241N2553216P","41400","41180_0041",64.5,17.2,"maison",129.3,65,0,"A",39.075127,NA,NA,NA,NA,NA
338,145.3,56,2969.9,"2022-02-05",573,218.6,"2241N0230243M","41400","41217_0050",145.3,0,"maison",159,47,0,"A",39.075127,NA,NA,NA,NA,NA
242.6,NA,41.7,2168,"2022-01-28",454,157.9,"2241N0178399M","41400","41080_0082",107.4,13,"maison",156.5,46,0,"A",39.075127,NA,NA,NA,NA,NA
199,93.7,43,1639,"2022-05-04",379,119.2,"2241N0962935Y","41400","41211_0042",93.7,15,"maison",104,40.2,0,"A",39.075127,NA,NA,NA,NA,NA
280,129.9,49,2244.7,"2022-03-25",466,165.7,"2241N0616369M","41400","41217_0060",129.9,0,"maison",117,39.7,0,"A",39.075127,NA,NA,NA,NA,NA
271,113.3,46,2055,"2022-10-13",438,152.1,"2241N2391214T","41400","41267_0078",113.3,12,"maison",95,41.7,0,"A",39.075127,NA,NA,NA,NA,NA
202.3,NA,43.7,1680.7,"2022-11-28",385.4,122.3,"2241N2841813M","41400","41151_0281",100.6,21.9,"maison",117.5,38,0,"A",39.075127,NA,NA,NA,NA,NA
210.7,NA,43.8,1723.2,"2022-10-04",391.4,125.7,"2241N2290474D","41400","41217_0020",101.6,21.9,"maison",115,39,0,"A",39.075127,NA,NA,NA,NA,NA
178.2,NA,34.7,1441,"2022-07-12",351.7,104.4,"2241N1590402H","41400","41217_0020",78,23.1,"maison",115.7,42,0,"A",39.075127,NA,NA,NA,NA,NA
279,156.3,66,2494.3,"2022-06-20",500,182.8,"2241N1371989U","41400","41211_0400",156.3,8,"maison",124,36.7,0,"A",39.075127,NA,NA,NA,NA,NA
344,143.3,53,2670.4,"2022-12-21",527,198.9,"2241N3117902H","41400","41211_0070",143.3,10,"maison",97,42.9,0,"A",39.075127,NA,NA,NA,NA,NA
268,165.5,60,2658,"2022-01-30",524,192.8,"2241N0182035I","41400","41211_B166",165.5,8,"maison",162,36.9,0,"A",39.075127,NA,NA,NA,NA,NA
175,99.6,44,1805,"2022-11-28",402,129,"2241N2851571U","41400","41180_0041",99.6,3,"maison",162,41.7,0,"A",39.075127,NA,NA,NA,NA,NA
280.9,NA,41.8,2377.8,"2022-12-21",483.5,152.2,"2241N3111944D","41400","41211_0031",112.6,16.7,"maison",144.1,48.6,0,"A",39.075127,NA,NA,NA,NA,NA
306,81.4,45,4187.2,"2022-05-23",525,899.1,"2241N1128702P","41400","41217_0020",81.4,3,"maison",157,56.7,0,"C",39.075127,NA,NA,NA,NA,NA
332,84.9,50,4598.7,"2022-02-02",561,999.4,"2241N0201915Y","41400","41217",84.9,6,"maison",157,58.5,0,"C",39.075127,NA,NA,NA,NA,NA
217,69,39,3359.6,"2022-02-02",414,726.6,"2241N0201930N","41400","41217",69,5,"maison",138,53,0,"B",39.075127,NA,NA,NA,NA,NA
330,79.6,30,3906.1,"2022-06-24",521,189.6,"2241N1422596F","41400","41217_0116",79.6,0,"maison",144,77,0,"B",39.075127,NA,NA,NA,NA,NA
231,69,39,3485.6,"2022-02-02",428,755.2,"2241N0201885U","41400","41217",69,5,"maison",138,54.8,0,"B",39.075127,NA,NA,NA,NA,NA
251,139.4,52,2484.5,"2022-09-25",499,179.9,"2241N2199442X","41400","41080_0047",139.4,10,"maison",160,41,0,"A",39.075127,NA,NA,NA,NA,NA
338,84.9,50,4652.7,"2022-02-02",567,1011.6,"2241N0201896F","41400","41217",84.9,6,"maison",157,59.1,0,"C",39.075127,NA,NA,NA,NA,NA
568.7,NA,83.1,3823.7,"2021-07-30",932.9,282,"2141N0120143V","41400","41211_0062_00072",169.7,127.8,"maison",153.3,51,0,"A",38.560917,NA,559603.34,6693256.98,1.141,47.324764
186,81.8,41,1375.9,"2021-12-22",343,100.5,"2141N0976277B","41400","41217_0020",81.8,5,"maison",94,38.7,0,"A",38.560917,NA,NA,NA,NA,NA
191.7,NA,45.9,1601.3,"2021-09-03",494,113.3,"2141N0259339N","41400","41217_0020",73.2,29.7,"maison",226.8,50,0,"A",38.560917,NA,NA,NA,NA,NA
401.6,NA,60.4,4590.9,"2021-09-03",696.9,210.6,"2141N0259413J","41400","41151_0055",93.9,23.5,"maison",211.4,73,0,"B",38.560917,NA,NA,NA,NA,NA
192,73.2,46,1601,"2021-10-04",494,113.3,"2141N0439049L","41400","41217_0020",73.2,5,"maison",227,50.3,0,"A",38.560917,NA,NA,NA,NA,NA
385,90.3,52,2152,"2021-10-01",613,159.5,"2141N0422570Q","41400","41257_0127_00005",90.3,0,"maison",158,54.8,0,"A",38.560917,NA,NA,NA,NA,NA
321,NA,67,2360,"2021-10-17",639,175,"2141N0515661B","41400","41211_0042",122.9,27,"maison",224,44.2,0,"A",38.560917,NA,NA,NA,NA,NA
280,72.7,39,1727.4,"2021-10-27",520,125.7,"2141N0579771V","41400","41211_0316",72.7,18,"maison",162,54.7,0,"A",38.560917,NA,NA,NA,NA,NA
171,68,34,1232.3,"2021-12-22",322,89.7,"2141N0976233J","41400","41217_0020",68,6,"maison",94,41.7,0,"A",38.560917,NA,NA,NA,NA,NA
412.9,NA,49.5,5463.6,"2024-04-05",697.4,276.7,"2441N1224578F","41400","41151_0071",135,68,"maison",167,66,0,"A",38.52722,NA,NA,NA,NA,NA
173,112.5,45,1822.8,"2024-01-31",406,130.1,"2441N0366785E","41400","41002_0026",112.5,8,"maison",165,37.2,0,"A",38.52722,NA,NA,NA,NA,NA
327,NA,76,2013,"2024-07-31",734,144,"2441N2769802X","41400","41211_0062",109.4,40,"maison",287,42.3,4,"A",38.52722,NA,NA,NA,NA,NA
169,97.7,41,1915,"2024-01-31",419,135.9,"2441N0350108T","41400","41080_0032",97.7,15,"maison",175,45,0,"A",38.52722,NA,NA,NA,NA,NA
176,NA,31,1663.8,"2024-04-08",383,119.3,"2441N1259634N","41400","41051_0085",70.8,24.4,"maison",146.7,54,4.9,"A",38.52722,NA,NA,NA,NA,NA
17.5,167.2,16.3,172.6,"2024-01-29",37.8,12.4,"2491N0318748N","41400","41217_B062",83.6,1.8,"maison",14.9,4.7,0,"A",38.52722,NA,NA,NA,NA,NA
291,NA,44,1976,"2024-01-26",570,144,"2441N0302713W","41400","41002_0080",80.3,30,"maison",191,56.5,14,"A",38.52722,NA,NA,NA,NA,NA
176,76.3,35,1493.5,"2024-04-16",360,107.8,"2441N1369775S","41400","41002_B168",76.3,2,"maison",125,45,0,"A",38.52722,NA,NA,NA,NA,NA
17.5,167.2,16.3,172.6,"2024-01-29",37.8,12.4,"2491N0318747M","41400","41217_B062",83.6,1.8,"maison",14.9,4.7,0,"A",38.52722,NA,NA,NA,NA,NA
236,100.6,51,1750.4,"2024-07-23",490,126.2,"2441N2658352J","41400","41080_0025",100.6,3,"maison",175,40,0,"A",38.52722,NA,NA,NA,NA,NA
213,88.1,36,1753.2,"2024-02-15",396,127.7,"2441N0554640J","41400","41080_0082",88.1,12,"maison",121,45.7,0,"A",38.52722,NA,NA,NA,NA,NA
181,55.6,26,1390,"2024-03-21",344,100.9,"2441N1033422B","41400","41059_0921_00011",55.6,0,"maison",114,57.4,0,"A",38.52722,NA,570905.44,6700675.4,1.288474,47.393829
190.1,NA,38.4,1959.3,"2024-06-21",424.6,140.2,"2441N2239026L","41400","41059_0884",93.3,24.3,"maison",169.8,48,2,"A",38.52722,NA,NA,NA,NA,NA
167,70.6,31,1708.5,"2024-04-10",389,121.8,"2441N1298363C","41400","41080_0170",70.6,6,"maison",167,55.6,0,"A",38.52722,NA,NA,NA,NA,NA
331,107,60,2068.4,"2024-08-08",551,152.7,"2441N2849231W","41400","41217_0020",107,7,"maison",136,44.4,0,"A",38.52722,NA,NA,NA,NA,NA
257,85.6,35,1943.1,"2024-06-24",422,143.4,"2441N2257792F","41400","41080_0047",85.6,0,"maison",115,52.1,0,"A",38.52722,NA,NA,NA,NA,NA
216.7,NA,40.6,1771.4,"2023-05-04",398.2,129.3,"2341N1484851R","41400","41211_0023",101.6,21.7,"maison",119.2,40,0,"A",36.62919,NA,NA,NA,NA,NA
180,55.6,26,1389.2,"2023-10-10",343,100.8,"2341N3401414Q","41400","41059_0921_00011",55.6,0,"maison",114,57.4,0,"A",36.62919,NA,570905.44,6700675.4,1.288474,47.393829
376,474.7,162,7957.9,"2023-11-04",1451,549.1,"2341N3745848C","41400","41080_0082_00007",474.7,71,"maison",812,38.6,0,"A",36.62919,NA,562989.99,6693821.65,1.185655,47.330555
309,448.7,685,5499.2,"2023-11-04",1013.5,383.5,"2341N3745854I","41400","41080_0082_00007",366.3,0,"maison",554.6,34.5,0,"A",36.62919,NA,562989.99,6693821.65,1.185655,47.330555
211,103.1,43,1835.9,"2023-02-06",407,133.3,"2341N0386081H","41400","41217_0012",103.1,11,"maison",124,41,0,"A",36.62919,NA,NA,NA,NA,NA
160,89.2,44,1426.6,"2023-10-17",351,102.5,"2341N3487962K","41400","41059_0909",89.2,2,"maison",125,36.8,0,"A",36.62919,NA,NA,NA,NA,NA
160,89.2,44,1426.6,"2023-10-20",351,102.5,"2341N3546195D","41400","41059_0909",89.2,2,"maison",125,36.8,0,"A",36.62919,NA,NA,NA,NA,NA
250,109.3,42,2502.4,"2023-09-29",502,180.8,"2341N3259726C","41400","41180_0009_00011",109.3,5,"maison",189,52.7,0,"A",36.62919,NA,568076.49,6700716.85,1.250968,47.393644
251,123.5,46,2108.2,"2023-03-29",446,154.3,"2341N1042925N","41400","41211_0116",123.5,28,"maison",102,39.3,0,"A",36.62919,NA,NA,NA,NA,NA
412,NA,116,3518,"2023-11-06",890,256,"2341N3751770W","41400","41146_0079",222.6,52,"maison",265,36.3,45,"A",36.62919,NA,NA,NA,NA,NA
164,85.7,40,1666.2,"2023-06-13",384,118.9,"2341N1967716K","41400","41059_0884",85.7,2,"maison",159,44.7,0,"A",36.62919,NA,NA,NA,NA,NA
246,103.6,41,1938.9,"2023-10-20",423,142.5,"2341N3549520A","41400","41002_0026",103.6,3,"maison",114,43.1,0,"A",36.62919,NA,NA,NA,NA,NA
186,89.3,40,1800.3,"2023-01-06",403,129.3,"2341N0045002W","41400","41080_0047",89.3,5,"maison",153,46.4,0,"A",36.62919,NA,NA,NA,NA,NA
186,89.3,40,1800.3,"2023-05-22",403,129.3,"2341N1663829L","41400","41080_0047",89.3,5,"maison",153,46.4,0,"A",36.62919,NA,NA,NA,NA,NA
423,NA,70,5291,"2023-03-09",677,250,"2341N0779901F","41400","41267_0078",106,28,"maison",156,75.7,0,"B",36.62919,NA,NA,NA,NA,NA
302.2,NA,43.6,2533.3,"2023-04-05",506.5,186.6,"2341N1144551F","41400","41080_0038",113.1,16.3,"maison",144.3,51,0,"A",36.62919,NA,NA,NA,NA,NA
77.7,448.7,154.2,2001.3,"2023-11-04",368.8,136.6,"2341N3745855J","41400","41080_0082_00007",82.5,0,"maison",257.4,55.8,0,"A",36.62919,NA,562989.99,6693821.65,1.185655,47.330555
269,137.3,50,2416.8,"2023-10-10",488,176.5,"2341N3389679H","41400","41211_0072",137.3,19,"maison",125,40.5,0,"A",36.62919,NA,NA,NA,NA,NA
139,70.1,35,1234.3,"2023-09-26",323,88.1,"2341N3197383H","41400","41002_0026",70.1,2,"maison",127,40.5,0,"A",36.62919,NA,NA,NA,NA,NA
387,448.7,155,7500.6,"2023-11-04",1383,520.1,"2341N3745852G","41400","41080_0082_00007",448.7,0,"maison",812,38.4,0,"A",36.62919,NA,562989.99,6693821.65,1.185655,47.330555
386,164.5,63,3050,"2023-09-01",585,227.7,"2341N2907621P","41400","41211_0015_00017",164.5,0,"maison",118,42.7,0,"A",36.62919,NA,559223.6,6693297.38,1.135961,47.325047
157,81.8,34,1685.4,"2023-11-19",386,119.7,"2341N3929595H","41400","41080_0025",81.8,4,"maison",172,47.4,0,"A",36.62919,NA,NA,NA,NA,NA
295,474.7,735.4,5897.6,"2023-11-04",1075.8,408.5,"2341N3745849D","41400","41080_0082_00007",392.1,321.7,"maison",562.8,34.6,0,"A",36.62919,NA,562989.99,6693821.65,1.185655,47.330555
80.6,474.7,155,2060.3,"2023-11-04",375.8,140.6,"2341N3745851F","41400","41080_0082_00007",82.7,67.8,"maison",249.3,57.3,0,"A",36.62919,NA,562989.99,6693821.65,1.185655,47.330555
256,NA,48,1941,"2023-09-25",563,140,"2341N3188068A","41400","41059_0902",98,57,"maison",199,45.5,3,"A",36.62919,NA,NA,NA,NA,NA
147,68.4,27,1559.4,"2023-11-07",368,110.4,"2341N3783744Q","41400","41217_0012",68.4,3,"maison",175,52.4,0,"A",36.62919,NA,NA,NA,NA,NA
173.6,NA,45.9,1481.2,"2023-08-03",357.3,107,"2341N2628621V","41400","41059_0884",90.5,20.4,"maison",117.4,37,0,"A",36.62919,NA,NA,NA,NA,NA
207,85.9,34,2043.9,"2023-09-22",447,146.4,"2341N3172174S","41400","41151_0700",85.9,11,"maison",150,54.7,30,"A",36.62919,NA,NA,NA,NA,NA
303.7,NA,48.1,2382.8,"2023-04-05",484.2,176.6,"2341N1134661V","41400","41180_0001",132.7,24.1,"maison",108.3,41,0,"A",36.62919,NA,NA,NA,NA,NA
193.3,NA,36.7,1845.4,"2023-02-02",408.6,132.7,"2341N0336836G","41400","41002_0080_00012",89.8,22,"maison",156.6,47,0,"A",36.62919,NA,566854.41,6693260.54,1.236978,47.326293
205,85.9,33,1786.3,"2023-04-21",406,129.2,"2341N1332390U","41400","41151_0910",85.9,4,"maison",136,47.8,14,"A",36.62919,NA,NA,NA,NA,NA
269,NA,55.7,2598.5,"2023-10-26",516.4,188.8,"2341N3632141T","41400","41051_0106_00008",155.6,21.6,"maison",151.5,38,18.6,"A",36.62919,NA,561116.83,6695231.13,1.160424,47.34285
412.9,NA,49.5,5463.6,"2023-08-09",697.4,276.7,"2341N2688913T","41400","41151_0071",135,68,"maison",167,66,0,"A",36.62919,NA,NA,NA,NA,NA
237,91.8,38,1849.7,"2023-09-18",409,135.8,"2341N3099450Q","41400","41051_0003_00023",91.8,5,"maison",114,46.4,0,"A",36.62919,NA,561264.69,6695457.35,1.162312,47.344917
377,82.7,31,2743.2,"2023-09-19",538,205.7,"2341N3108494M","41400","41059_0877",82.7,0,"maison",115,76.3,0,"B",36.62919,NA,NA,NA,NA,NA
280,93.9,41,1998.6,"2023-10-20",431,148.7,"2341N3545835H","41400","41002_0080",93.9,5,"maison",88,48.9,0,"A",36.62919,NA,NA,NA,NA,NA
153.7,NA,36.3,1292.7,"2023-04-27",330.8,92.9,"2341N1408323H","41400","41217_0020",70.1,21.3,"maison",119.5,42,0,"A",36.62919,NA,NA,NA,NA,NA
202.3,NA,47.1,2054,"2023-05-13",437.9,147.6,"2341N1586815J","41400","41002_0026",110.6,19.4,"maison",169.1,42,0,"A",36.62919,NA,NA,NA,NA,NA
292,84.3,34,2145.6,"2023-10-20",451,159.5,"2341N3549268I","41400","41002_0026",84.3,0,"maison",110,58.5,0,"A",36.62919,NA,NA,NA,NA,NA
189.8,NA,51,1880.5,"2021-12-16",413.5,135.1,"2141N0918994W","41100","41010_B172",122.3,22.7,"maison",150.1,35,0,"A",39.50647,NA,NA,NA,NA,NA
195.7,NA,66.6,1842.4,"2021-12-16",408.2,133.2,"2141N0918937R","41100","41065_0116",166.1,20.8,"maison",124.9,25,0,"A",39.50647,NA,NA,NA,NA,NA
332,137.3,70,2535.7,"2021-09-15",695,182.6,"2141N0329120K","41100","41003_0086",137.3,13,"maison",245,42.5,0,"A",39.50647,NA,NA,NA,NA,NA
267,145,53,2502.5,"2021-11-17",502,182.2,"2141N0709623D","41100","41269_0182",145,7,"maison",154,39.7,0,"A",39.50647,NA,NA,NA,NA,NA
483,77.4,55,4886,"2021-07-23",761,1067.5,"2141N0086173H","41100","41158_0315_00002",77.4,10,"maison",193,67.5,0,"C",39.50647,NA,552908.36,6745663.6,1.035123,47.794895
338.5,NA,53.5,4896,"2021-12-08",596,1065.7,"2141N0868633X","41100","41175_0110",98.5,20,"maison",184,53,0,"B",39.50647,NA,NA,NA,NA,NA
363.9,NA,49.6,4828.8,"2021-11-05",605.4,1036.5,"2141N0637645T","41100","41269_0519_00003",85.2,23.3,"maison",168.5,62,0,"C",39.50647,NA,554868.49,6746219.19,1.061114,47.80033
230.8,NA,13.2,1149.9,"2023-09-27",310.8,73.6,"2341N3232664G","41100","41269_1180_00060",25,6.1,"appartement",60.6,105.8,0,"B",34.606186,"collectif",552472.55,6746358.99,1.029072,47.801054
66.4,NA,17.8,523.7,"2023-09-27",151.9,33.5,"2341N3230789D","41100","41269_1180_00060",30,12.7,"appartement",55,40.2,0,"A",34.606186,"collectif",552472.55,6746358.99,1.029072,47.801054
193,NA,57.2,2015.9,"2023-02-02",432.6,144.5,"2341N0340304Q","41100","41294_0030",142.7,32.2,"maison",150.1,32,0,"A",34.606186,NA,NA,NA,NA,NA
161.5,NA,53.8,1747.7,"2023-06-15",394.8,124.4,"2341N1989134E","41100","41294_0142",128.4,26.9,"maison",152.5,31,0,"A",34.606186,NA,NA,NA,NA,NA
210,60.7,28.5,1686.7,"2023-09-27",386.3,108,"2341N3230715H","41100","41269_1180_00060",60.7,20.3,"immeuble",127.5,63.9,0,"A",34.606186,NA,552472.55,6746358.99,1.029072,47.801054
247,134.9,53,2365.6,"2023-04-21",481,171.7,"2341N1327433D","41100","41226_0304_00446",134.9,3,"maison",158,40.3,0,"A",34.606186,NA,555696.62,6750111.26,1.070903,47.835531
230.8,NA,13.2,1149.9,"2023-09-27",310.8,73.6,"2341N3232667J","41100","41269_1180_00060",25,6.1,"appartement",60.6,105.8,0,"B",34.606186,"collectif",552472.55,6746358.99,1.029072,47.801054
192,96.4,36,2168.5,"2023-12-14",479,153.3,"2341N4316835D","41100","41291_0095",96.4,0,"maison",151,51.7,68,"A",34.606186,NA,NA,NA,NA,NA
347,125.6,51,3034.6,"2023-06-06",582,223.5,"2345N1868531T","41100","41283_0100",125.6,11,"maison",159,55.6,0,"A",34.606186,NA,NA,NA,NA,NA
183.8,NA,63.4,2094.4,"2023-12-15",443.6,149.3,"2341N4335084A","41100","41226_0304",149.6,31.7,"maison",155.3,32,9.5,"A",34.606186,NA,NA,NA,NA,NA
184.4,NA,34.1,1497.8,"2023-02-21",359.7,108.6,"2341N0561080A","41100","41269_0120",78,22.8,"maison",118.4,44,0,"A",34.606186,NA,NA,NA,NA,NA
158.1,NA,49.2,1759.5,"2023-11-17",396.5,124.9,"2341N3916667B","41100","41124_0147",115,20.7,"maison",152.9,35,15.5,"A",34.606186,NA,NA,NA,NA,NA
198,106.5,37,2132.3,"2023-03-30",448,152.3,"2341N1077362A","41100","41269_0270_00010",106.5,13,"maison",184,46,0,"A",34.606186,NA,555050.26,6745689.25,1.063715,47.795602
203.8,NA,47.8,2393.2,"2023-10-12",485.6,170.2,"2341N3428666U","41100","41269_1079_00194",124,73,"maison",151,44,10.1,"A",34.606186,NA,554822.73,6745822.76,1.060633,47.796753
346,NA,54,2274,"2023-11-30",599,169,"2341N4118803N","41100","41269_0717_00005",109.3,25,"maison",152,47.8,22,"A",34.606186,NA,555960.71,6744380.75,1.076298,47.784029
230.8,NA,13.2,1149.9,"2023-09-27",310.8,73.6,"2341N3232668K","41100","41269_1180_00060",25,6.1,"appartement",60.6,105.8,0,"B",34.606186,"collectif",552472.55,6746358.99,1.029072,47.801054
111.5,NA,61.2,1498,"2023-05-25",359.7,104.8,"2341N1719338K","41100","41209_0050",127.2,25.2,"maison",161.9,27,0,"A",34.606186,NA,NA,NA,NA,NA
154.2,NA,53.4,1723.9,"2023-11-06",391.5,122.3,"2341N3759988Y","41100","41138_0130",130.6,20.8,"maison",145.3,30,17.8,"A",34.606186,NA,NA,NA,NA,NA
496.5,100.2,57,3193.5,"2023-09-27",926.3,204.4,"2341N3231800A","41100","41269_1180_00060",100.2,26,"immeuble",346.8,73.3,0,"B",34.606186,NA,552472.55,6746358.99,1.029072,47.801054
237,153.6,58,2363.9,"2023-08-04",481,171,"2341N2644152E","41100","41294_0260_00045",153.6,7,"maison",161,35.4,0,"A",34.606186,NA,550356.81,6746480.99,1.000777,47.801673
195.9,NA,49,2073.6,"2023-10-12",440.7,148.5,"2341N3433805L","41100","41209_0060",128,24.5,"maison",165.9,37,5.4,"A",34.606186,NA,NA,NA,NA,NA
96.7,NA,45.7,1270,"2023-04-21",327.6,88.4,"2341N1330501D","41100","41158_0550_00017_bis",88.1,24.2,"maison",161.1,33,0,"A",34.606186,NA,551404.4,6746135.01,1.014883,47.798798
144.9,NA,43.2,1525.8,"2023-07-21",363.6,108.3,"2341N2455606K","41100","41124_0147",91.3,25.4,"maison",150,38,0,"A",34.606186,NA,NA,NA,NA,NA
189.4,NA,43.5,1780,"2023-11-06",399.4,128.2,"2341N3759102W","41100","41158_xa59jm",98,23,"maison",143.4,41,0,"A",34.606186,NA,NA,NA,NA,NA
215.8,NA,55.3,2323.7,"2023-11-13",475.9,166.7,"2341N3848700Y","41100","41294_vgbutf",135.1,22.1,"maison",177.1,39,5.5,"A",34.606186,NA,NA,NA,NA,NA
230.8,NA,13.2,1149.9,"2023-09-27",310.8,73.6,"2341N3232670M","41100","41269_1180_00060",25,6.1,"appartement",60.6,105.8,0,"B",34.606186,"collectif",552472.55,6746358.99,1.029072,47.801054
198.9,NA,35,1892.4,"2023-06-05",415.2,136.2,"2341N1859188G","41100","41158_0305",83.1,19.7,"appartement",161.7,52,0,"A",34.606186,"individuel",NA,NA,NA,NA
162,83.6,41,1412.2,"2023-11-30",347,101.6,"2341N4116448Y","41100","41269_1025",83.6,4,"maison",121,38.9,0,"A",34.606186,NA,NA,NA,NA,NA
340.6,NA,48.2,2831,"2023-05-22",551.6,209.4,"2341N1666955R","41100","41243_0025_00018",132.2,15.1,"maison",147.7,49,0,"A",34.606186,NA,564678.09,6741510.28,1.193557,47.760054
313,715.9,150.5,4616.1,"2023-10-27",548.2,1016.9,"2341N3655045R","41100","41269_0380_00059_ter",84.5,0,"appartement",178.7,57.6,0,"C",34.606186,"individuel",555437.78,6745923.6,1.068813,47.797796
263,82.3,35,3486.4,"2023-12-14",507,167.2,"2341N4317050K","41100","41269_1390_00046",82.3,0,"maison",83,67,54,"A",34.606186,NA,557928.77,6742940.77,1.103034,47.771501
2217,850.6,440,39030.1,"2023-10-27",4772,8477.1,"2341N3653016Q","41100","41269_0380_00059_ter",850.6,26,"immeuble",1959,49.6,0,"B",34.606186,NA,555437.78,6745923.6,1.068813,47.797796
280.9,850.6,175.1,4587.7,"2023-10-27",552.6,1003.7,"2341N3653022W","41100","41269_0380_00059",97.7,10.3,"appartement",203,50.1,0,"B",34.606186,"individuel",555412.28,6745860.88,1.068493,47.797226
276.5,NA,56.5,3224.4,"2023-10-12",537.5,578.1,"2341N3429979H","41100","41269_0210_00150",93.8,22,"maison",182.5,48,0,"B",34.606186,NA,553876.17,6747465.22,1.047451,47.811321
171.1,850.6,135.8,3361.4,"2023-10-27",406.7,733.8,"2341N3653025Z","41100","41269_0380_00059",75.8,8,"appartement",182.3,47.5,0,"B",34.606186,"individuel",555412.28,6745860.88,1.068493,47.797226
164.6,850.6,118.1,3194.2,"2023-10-27",383.8,699.6,"2341N3653029D","41100","41269_0380_00059",65.9,6.9,"appartement",172.9,51.6,0,"B",34.606186,"individuel",555412.28,6745860.88,1.068493,47.797226
308,85.2,46,4150.4,"2023-10-20",544,870.1,"2341N3549004E","41100","41243_0112_00017",85.2,9,"maison",163,55.8,0,"B",34.606186,NA,564375.79,6740813.83,1.189736,47.753725
170.1,850.6,138.5,3368,"2023-10-27",408.1,734.7,"2341N3653028C","41100","41269_0380_00059",77.3,8.1,"appartement",183.7,46.7,0,"B",34.606186,"individuel",555412.28,6745860.88,1.068493,47.797226
266.8,850.6,175.1,4461.5,"2023-10-27",538.5,975,"2341N3653032G","41100","41269_0380_00059",97.7,10.3,"appartement",203,48.8,0,"B",34.606186,"individuel",555412.28,6745860.88,1.068493,47.797226
156.3,850.6,135.8,3228.2,"2023-10-27",391.9,703.5,"2341N3653036K","41100","41269_0380_00059",75.8,8,"appartement",182.3,45.7,0,"B",34.606186,"individuel",555412.28,6745860.88,1.068493,47.797226
463,115.7,46,5484.6,"2023-10-14",645,254.7,"2341N3461388I","41100","41175_0345",115.7,0,"maison",113,70.6,0,"B",34.606186,NA,NA,NA,NA,NA
426.3,715.9,221.9,6047.8,"2023-10-27",723.9,1327.2,"2341N3655050W","41100","41269_0380_00059_ter",124.6,0,"appartement",214.3,51.5,0,"B",34.606186,"individuel",555437.78,6745923.6,1.068813,47.797796
169.7,850.6,137.3,3356.9,"2023-10-27",406.5,732.4,"2341N3653038M","41100","41269_0380_00059",76.6,8.1,"appartement",183,47,0,"B",34.606186,"individuel",555412.28,6745860.88,1.068493,47.797226
341.8,NA,44.8,5321,"2023-02-06",583,216.4,"2341N0380866S","41100","41243_axn6lr",96.5,19.6,"maison",176.8,74,0,"B",34.606186,NA,NA,NA,NA,NA
324.3,715.9,226.4,5156.1,"2023-10-27",625.8,1123.8,"2341N3655029B","41100","41269_0380_00059_ter",127.1,0,"appartement",216.5,43.6,0,"B",34.606186,"individuel",555437.78,6745923.6,1.068813,47.797796
147.8,850.6,117.9,3042,"2023-10-27",366.8,665.1,"2341N3653042Q","41100","41269_0380_00059",65.8,6.9,"appartement",172.8,49.4,0,"B",34.606186,"individuel",555412.28,6745860.88,1.068493,47.797226
267,715.9,226.4,4641.1,"2023-10-27",568.5,1006.9,"2341N3655037J","41100","41269_0380_00059_ter",127.1,0,"appartement",216.5,39.5,0,"B",34.606186,"individuel",555437.78,6745923.6,1.068813,47.797796
151.8,715.9,142.7,3121.5,"2023-10-27",380.2,679.2,"2341N3655041N","41100","41269_0380_00059_ter",80.1,0,"appartement",174.8,42,0,"B",34.606186,"individuel",555437.78,6745923.6,1.068813,47.797796
246,NA,36.6,3988.8,"2023-03-23",477.2,162.5,"2341N0973812I","41100","41269_1182_00104",69.3,18.3,"maison",176.3,78,0,"B",34.606186,NA,553056.9,6746336.65,1.036883,47.800984
180.4,715.9,141.9,3374.2,"2023-10-27",408.1,736.7,"2341N3655032E","41100","41269_0380_00059_ter",79.7,0,"appartement",174.4,45.3,0,"B",34.606186,"individuel",555437.78,6745923.6,1.068813,47.797796
327.6,850.6,209.7,5219.2,"2023-10-27",631.2,1139.6,"2341N3653049X","41100","41269_0380_00059",117,12.3,"appartement",221.3,47.8,0,"B",34.606186,"individuel",555412.28,6745860.88,1.068493,47.797226
145.4,NA,49.3,1533.3,"2023-02-21",364.7,109,"2341N0558796E","41100","41269_1820",88.4,22.2,"maison",147.8,39,0,"A",34.606186,NA,NA,NA,NA,NA
66.4,NA,17.8,523.7,"2023-09-27",151.9,33.5,"2341N3230787B","41100","41269_1180_00060",30,12.7,"appartement",55,40.2,0,"A",34.606186,"collectif",552472.55,6746358.99,1.029072,47.801054
322.7,NA,63.7,3505,"2023-04-02",653.9,253.3,"2341N1098907R","41100","41226_0185_00059_bis",197.3,29.7,"maison",237.8,40,0,"A",34.606186,NA,555649.99,6747694.36,1.071069,47.813775
